tag,start,end,rs_threshold,breakout_volume,stop_max_pct,max_positions,trades,sharpe,cagr,max_dd,total_return,win_rate,wl_ratio,exposure,audit_passed,run_id,error
full,2022-01-03,2024-06-28,90,1.4,0.06,6,92,-0.6873510298653005,-0.03373164572799592,-0.09032024064543331,-0.08167947363382011,0.2717391304347826,2.2384507981073973,0.11873426353381152,True,full_rs_90_bre1.4_sto0.06_max6,
full,2022-01-03,2024-06-28,90,1.4,0.06,8,98,-0.7501840447440398,-0.02726591873529416,-0.07287940046455843,-0.06634449709417956,0.2653061224489796,2.227403515502101,0.09275299257476617,True,full_rs_90_bre1.4_sto0.06_max8,
full,2022-01-03,2024-06-28,90,1.4,0.06,12,99,-0.7686729451971598,-0.019069043674427966,-0.05114540980043203,-0.04668523717965323,0.26262626262626265,2.2198662388935047,0.06252304315614388,True,full_rs_90_bre1.4_sto0.06_max12,
full,2022-01-03,2024-06-28,90,1.4,0.08,4,77,-0.267540131529768,-0.017586678505167153,-0.09572436726918054,-0.043103805185293,0.3116883116883117,2.1499767938175336,0.14466329898698527,True,full_rs_90_bre1.4_sto0.08_max4,
full,2022-01-03,2024-06-28,90,1.4,0.08,6,92,-0.7476543862741339,-0.03693373055837912,-0.09755627351541563,-0.08921785943710947,0.2717391304347826,2.165746903031864,0.11917912702357328,True,full_rs_90_bre1.4_sto0.08_max6,
full,2022-01-03,2024-06-28,90,1.4,0.08,8,98,-0.8051522298660964,-0.029520201727730955,-0.07818022094162613,-0.07170828075676006,0.2653061224489796,2.1598107685559333,0.09325072417517333,True,full_rs_90_bre1.4_sto0.08_max8,
full,2022-01-03,2024-06-28,90,1.4,0.08,12,99,-0.8174899257662439,-0.020450418518372593,-0.0546145299008014,-0.0500154561321704,0.26262626262626265,2.1534868838617176,0.06279972840786807,True,full_rs_90_bre1.4_sto0.08_max12,
full,2022-01-03,2024-06-28,90,1.4,0.1,4,70,0.0622954478220079,0.0017574629728336344,-0.12757264085500808,0.004369875666601519,0.34285714285714286,2.1267866592457554,0.16799101320241472,True,full_rs_90_bre1.4_sto0.1_max4,
full,2022-01-03,2024-06-28,90,1.4,0.1,6,84,-0.3414071682080987,-0.02380443420346312,-0.1101562156807876,-0.0580723689216156,0.2857142857142857,2.1141441627815056,0.13646534960645865,True,full_rs_90_bre1.4_sto0.1_max6,
full,2022-01-03,2024-06-28,90,1.4,0.1,8,93,-0.4603156587386568,-0.023178689887308312,-0.09334199264138066,-0.05657233490284608,0.27956989247311825,2.0770240120211896,0.10737099461322802,True,full_rs_90_bre1.4_sto0.1_max8,
full,2022-01-03,2024-06-28,90,1.4,0.1,12,94,-0.4800216471917318,-0.016164401662544514,-0.06525110604218431,-0.039660005110278895,0.2765957446808511,2.072853039186631,0.07222636462082728,True,full_rs_90_bre1.4_sto0.1_max12,
full,2022-01-03,2024-06-28,90,1.6,0.06,4,62,-0.1503332565779963,-0.011766132219071523,-0.10360880170815678,-0.0289635494523639,0.2903225806451613,2.2893957210458127,0.13489420710943445,True,full_rs_90_bre1.6_sto0.06_max4,
full,2022-01-03,2024-06-28,90,1.6,0.06,6,75,-0.28053612981508513,-0.015538312907409813,-0.09959313536061476,-0.03814169534356637,0.28,2.2569027190551236,0.11016178169353286,True,full_rs_90_bre1.6_sto0.06_max6,
full,2022-01-03,2024-06-28,90,1.6,0.06,8,77,-0.32820941880109344,-0.013142945604236789,-0.0736958324591287,-0.03231952731120602,0.2727272727272727,2.2549892345761857,0.08206769659068011,True,full_rs_90_bre1.6_sto0.06_max8,
full,2022-01-03,2024-06-28,90,1.6,0.06,12,77,-0.33183299900696467,-0.008719868108807094,-0.04969645765824471,-0.021513612546252392,0.2727272727272727,2.2473465876162346,0.054608962598295556,True,full_rs_90_bre1.6_sto0.06_max12,
full,2022-01-03,2024-06-28,90,1.6,0.08,4,62,-0.2430432515811346,-0.01797269160016879,-0.10485328728119403,-0.044037195138708074,0.2903225806451613,2.1704949901902952,0.1355148598933392,True,full_rs_90_bre1.6_sto0.08_max4,
full,2022-01-03,2024-06-28,90,1.6,0.08,6,74,-0.3451141006882392,-0.01887742526417291,-0.10293538507764965,-0.04622273361221918,0.28378378378378377,2.1403776414945477,0.11114442987392044,True,full_rs_90_bre1.6_sto0.08_max6,
