ticker,quarter_end_date,q4_eps,sum_4q,fy_eps,gap,flag
ADNT,2024-09-30,0.9,0.22,0.2,0.02,False
ADNT,2025-09-30,0.23,-3.33,-3.39,0.06,False
ADT,2018-12-31,-0.2,-0.82,-0.81,0.01,False
ADT,2019-12-31,-0.1,-0.58,-0.57,0.01,False
ADUS,2014-12-31,0.35,1.1,1.1,0.0,False
ADUS,2015-12-31,0.3,1.04,1.04,0.0,False
ADUS,2016-12-31,0.66,1.05,1.06,0.01,False
ADUS,2017-12-31,0.28,1.17,1.17,0.0,False
ADUS,2018-12-31,0.35,1.41,1.41,0.0,False
ADUS,2019-12-31,0.67,1.72,1.77,0.05,False
ADUS,2020-12-31,0.53,2.07,2.08,0.01,False
ADUS,2021-12-31,0.81,2.8,2.81,0.01,False
ADUS,2022-12-31,0.9,2.84,2.84,0.0,False
ADUS,2023-12-31,1.2,3.84,3.83,0.01,False
ADUS,2024-12-31,1.06,4.23,4.23,0.0,False
ADUS,2025-12-31,1.61,5.21,5.22,0.01,False
AEIS,2014-12-31,0.23,1.14,1.14,0.0,False
AEIS,2015-12-31,0.89,-3.87,-3.89,0.02,False
AEIS,2016-12-31,1.1,3.18,3.18,0.0,False
AEIS,2018-12-31,0.5,3.72,3.74,0.02,False
AEIS,2019-12-31,0.27,1.69,1.69,0.0,False
AEIS,2020-12-31,1.08,3.5,3.5,0.0,False
AEIS,2021-12-31,1.05,3.52,3.51,0.01,False
AEIS,2022-12-31,1.16,5.29,5.29,0.0,False
AEIS,2023-12-31,1.0,3.4,3.4,0.0,False
AEIS,2024-12-31,1.27,1.41,1.43,0.02,False
AEIS,2025-12-31,1.31,3.83,3.84,0.01,False
AEO,2015-01-31,0.31,0.41,0.42,0.01,False
AEO,2016-01-30,0.42,1.12,1.11,0.01,False
AEO,2017-01-28,0.3,1.16,1.16,0.0,False
AEO,2018-02-03,0.52,1.14,1.13,0.01,False
AEO,2019-02-02,0.43,1.47,1.47,0.0,False
AEO,2020-02-01,0.03,1.12,1.12,0.0,False
AEO,2021-01-30,0.02,-1.28,-1.26,0.02,False
AEO,2022-01-29,0.25,2.03,2.03,0.0,False
AEO,2023-01-28,0.24,0.58,0.64,0.06,True
AEO,2024-02-03,0.03,0.86,0.86,0.0,False
AEO,2025-02-01,0.55,1.69,1.68,0.01,False
AEO,2026-01-31,0.49,1.11,1.09,0.02,False
AES,2014-12-31,0.29,1.06,1.06,0.0,False
AES,2015-12-31,-0.13,0.43,0.44,0.01,False
AES,2016-12-31,-1.43,-1.71,-1.71,0.0,False
AES,2017-12-31,-2.05,-1.7,-1.76,0.06,False
AES,2018-12-31,0.19,1.81,1.81,0.0,False
AES,2019-12-31,-0.12,0.45,0.45,0.0,False
AES,2020-12-31,0.47,0.07,0.07,0.0,False
AES,2021-12-31,-1.02,-0.72,-0.61,0.11,True
AES,2022-12-31,-1.35,-0.87,-0.82,0.05,True
AES,2023-12-31,-0.12,0.35,0.35,0.0,False
AES,2024-12-31,0.78,2.48,2.36,0.12,True
AES,2025-12-31,0.45,1.26,1.26,0.0,False
AESI,2023-12-31,0.32,1.53,1.48,0.05,False
AESI,2024-12-31,0.13,0.56,0.55,0.01,False
AESI,2025-12-31,-0.18,-0.4,-0.41,0.01,False
AFG,2014-12-31,1.41,4.97,4.97,0.0,False
AFG,2015-12-31,1.44,3.93,3.94,0.01,False
AFG,2016-12-31,4.35,7.34,7.33,0.01,False
AFG,2017-12-31,1.84,5.3,5.28,0.02,False
AFG,2018-12-31,-0.32,5.85,5.85,0.0,False
AFG,2019-12-31,2.31,9.87,9.85,0.02,False
AFG,2020-12-31,7.86,8.35,8.2,0.15,False
AFG,2021-12-31,4.18,23.28,23.3,0.02,False
AFG,2022-12-31,3.24,10.53,10.53,0.0,False
AFG,2023-12-31,3.13,10.05,10.05,0.0,False
AFG,2024-12-31,3.04,10.58,10.57,0.01,False
AFG,2025-12-31,3.59,10.08,10.08,0.0,False
AGCO,2014-12-31,0.85,4.34,4.36,0.02,False
AGCO,2015-12-31,0.73,3.06,3.06,0.0,False
AGCO,2016-12-31,0.77,1.97,1.96,0.01,False
AGCO,2017-12-31,0.55,2.32,2.32,0.0,False
AGCO,2018-12-31,1.26,3.59,3.58,0.01,False
AGCO,2019-12-31,-1.15,1.61,1.63,0.02,False
AGCO,2020-12-31,1.78,5.65,5.65,0.0,False
AGCO,2021-12-31,3.74,11.86,11.85,0.01,False
AGCO,2022-12-31,4.3,11.88,11.87,0.01,False
AGCO,2023-12-31,4.54,15.64,15.63,0.01,False
AGCO,2024-12-31,-3.42,-5.69,-5.69,0.0,False
AGCO,2025-12-31,1.29,9.74,9.75,0.01,False
AGNT,2014-12-31,0.0,0.0,0.0,0.0,False
AGNT,2015-12-31,-0.02,-0.09,-0.09,0.0,False
AGNT,2016-12-31,-0.09,-0.51,-0.51,0.0,False
AGNT,2017-12-31,-0.25,-0.45,-0.42,0.03,False
AGNT,2018-12-31,-0.09,-0.39,-0.39,0.0,False
AGNT,2019-12-31,0.01,-0.16,-0.15,0.01,False
AGNT,2020-12-31,0.05,0.21,0.21,0.0,False
AGNT,2022-12-31,-0.05,0.1,0.1,0.0,False
AGNT,2023-12-31,-0.15,-0.07,-0.06,0.01,False
AGNT,2024-12-31,-0.06,-0.14,-0.14,0.0,False
AGNT,2025-12-31,-0.08,-0.14,-0.14,0.0,False
AGO,2014-12-31,3.28,6.49,6.26,0.23,False
AGO,2015-12-31,3.03,7.15,7.08,0.07,False
AGO,2016-12-31,1.49,6.61,6.56,0.05,False
AGO,2017-12-31,0.44,5.89,5.96,0.07,False
AGO,2018-12-31,0.83,4.65,4.68,0.03,False
AGO,2019-12-31,1.42,4.03,4.0,0.03,False
AGO,2020-12-31,1.81,4.34,4.19,0.15,False
AGO,2021-12-31,3.75,5.4,5.23,0.17,False
AGO,2022-12-31,1.51,1.93,1.92,0.01,False
AGO,2023-12-31,6.4,12.4,12.3,0.1,False
AGO,2024-12-31,0.35,6.82,6.87,0.05,False
