ticker,from,to,days,from_q,to_q,class,evidence
TOST,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; InterestIncomeExpenseNet:2020-12-31:10-K
UA,2021-12-31,2022-06-30,181,Q4 2021,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-03-31:10-K; EarningsPerShareDiluted:2022-03-31:10-K; InterestIncomeExpenseNet:2022-03-31:10-K
UAA,2021-12-31,2022-06-30,181,Q4 2021,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2022-03-31:10-K; EarningsPerShareDiluted:2022-03-31:10-K; InterestIncomeExpenseNet:2022-03-31:10-K
ULS,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
UNIT,2024-09-30,2025-03-31,182,Q3 2024,Q1 2025,ANNUAL_ONLY,EarningsPerShareBasic:2024-12-31:10-K; EarningsPerShareDiluted:2024-12-31:10-K; NetIncomeLoss:2024-12-31:10-K
VAL,2021-06-30,2022-03-31,274,Q3 2021,Q1 2022,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2021-09-30:10-Q; EarningsPerShareDiluted:2021-09-30:10-Q; NetIncomeLoss:2021-09-30:10-Q
VGNT,2025-06-30,2026-03-31,274,Q2 2025,Q1 2026,NO_10K_FACTS,
VNOM,2024-09-30,2025-03-31,182,Q3 2024,Q1 2025,ANNUAL_ONLY,EarningsPerShareBasic:2024-12-31:10-K; EarningsPerShareDiluted:2024-12-31:10-K; NetIncomeLoss:2024-12-31:10-K
VSNT,2025-06-30,2025-12-31,184,Q2 2025,Q4 2025,SOURCE_GAP,
VSTS,2023-06-30,2023-12-29,182,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-09-29:10-K; EarningsPerShareDiluted:2023-09-29:10-K; NetIncomeLoss:2023-09-29:10-K
VSXY,2020-10-31,2021-05-01,182,Q3 2020,Q1 2021,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2021-01-30:10-K; EarningsPerShareDiluted:2021-01-30:10-K; NetIncomeLoss:2021-01-30:10-K
VTOL,2022-09-30,2023-06-30,273,Q2 2023,Q1 2024,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2023-03-31:10-Q; EarningsPerShareDiluted:2023-03-31:10-Q; NetIncomeLoss:2023-03-31:10-Q
WAY,2023-09-30,2024-03-31,183,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-12-31:10-K; EarningsPerShareDiluted:2023-12-31:10-K; NetIncomeLoss:2023-12-31:10-K
WRBY,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,EarningsPerShareBasic:2020-12-31:10-K; EarningsPerShareDiluted:2020-12-31:10-K; NetIncomeLoss:2020-12-31:10-K
WS,2023-02-28,2023-08-31,184,Q3 2023,Q1 2024,ANNUAL_ONLY,EarningsPerShareBasic:2023-05-31:10-K; EarningsPerShareDiluted:2023-05-31:10-K; NetIncomeLoss:2023-05-31:10-K
YOU,2020-09-30,2021-03-31,182,Q3 2020,Q1 2021,ANNUAL_ONLY,ProfitLoss:2020-12-31:10-K; RevenueFromContractWithCustomerExcludingAssessedTax:2020-12-31:10-K
ZWS,2020-12-31,2021-06-30,181,Q3 2022,Q1 2023,RAW_QUARTER_EXISTS,EarningsPerShareBasic:2021-03-31:10-K; EarningsPerShareBasic:2021-03-31:10-Q; EarningsPerShareDiluted:2021-03-31:10-K
