ticker,action,date_or_period,category,confidence,source_url,in_index_universe,in_wider_universe,price_data,check_day,trend_template,rs_pct,fundamentals,breakout_signal,regime_open,passes_all,our_candidate_within_30d,our_trade_within_30d
RNA,BUY,2024-11-13,own_trade,high,https://x.com/markminervini/status/1856764704234041720,False,False,False,,,,,,,,,
RNA,SELL,2024-11-13,own_trade,high,https://x.com/markminervini/status/1856764704234041720,False,False,False,,,,,,,,,
SPY,SELL,2024-12-09,own_trade,high,https://x.com/markminervini/status/1874139838313574883,False,False,True,,,,,,,,,
NVDA,SELL,2024-Q1,own_trade,high,https://x.com/markminervini/status/1760774946777706636,False,True,True,,,,,,,,,
SPY,SELL,2025-02-24,own_trade,high,https://x.com/markminervini/status/1901692374763376678,False,False,True,,,,,,,,,
TATT,BUY,2025-04,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
ABVX,HOLD,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
CCL,BUY,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
IBIT,HOLD,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
IWM,HOLD,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,True,,,,,,,,,
IWN,BUY,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
OLLI,HOLD,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,True,True,True,2025-08-01,True,88.4,FAIL,False,True,False,,
STX,HOLD,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
UBER,BUY,2025-08,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
SPY,SELL,2025-08-18,own_trade,high,https://x.com/markminervini/status/1958176651340116452,False,False,True,,,,,,,,,
MRUS,SELL,2025-09,own_trade,medium,https://newsonwallstreet.com/5-stocks-mark-minervini-has-mentioned-on-x-a-traders-watchlist-highlights/,False,False,False,,,,,,,,,
SPY,SELL,2025-10-29,own_trade,high,https://x.com/markminervini/status/1989010898585899326,False,False,True,,,,,,,,,
RTX,SELL,2026-06-02,own_trade,high,https://x.com/markminervini/status/2061860791091872092,False,False,False,,,,,,,,,
ASML,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
FRST,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
KRYS,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,True,True,True,2026-05-28,True,94.0,FAIL,False,True,False,exp3_B2_2024_26:2026-06-17; exp3_B3_2024_26:2026-06-17,
MAR,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
MATX,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,True,True,True,2026-05-28,True,80.5,FAIL,False,True,False,,
MNST,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
MS,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
PSMT,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,True,True,True,2026-05-28,True,79.9,FAIL,False,True,False,,
PSX,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
ROST,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
SMFG,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
VIK,HOLD,2026-06-11,own_trade,high,https://x.com/markminervini/status/2065129055406444742,False,False,False,,,,,,,,,
