ticker,cik,fy_end,fy_10k_accn,fy_10k_filed,restated_fields,n_restated_items,restated_detail,direct_q4_eps,direct_q4_net_income,direct_q4_revenue,eps_concept,net_income_concept,revenue_concept,press_release_q4_eps,stored_q4_eps,stored_q4_net_income,stored_q4_revenue,match_eps,match_net_income,match_revenue,in_store,bucket,bucket_store_final_2
VYX,70866,2019-12-31,0000070866-20-000007,2020-02-28,net_income,3,net_income 2019-03-31: 10-Q 3.7e+07 -> 10-K 2.4e+07; net_income 2019-06-30: 10-Q 8.8e+07 -> 10-K 7.6e+07; net_income 2019-09-30: 10-Q 9e+07 -> 10-K 1.1e+07,2.43,343000000.0,1886000000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,2.43,349000000.0,1886000000.0,yes,no,yes,True,"NI_ONLY (EPS agrees: NI definition, e.g. preferred / NCI / OP units)",NI_and_EPS (or more) disagree: derivation/basis error candidate
WAFD,936528,2020-09-30,0000936528-20-000045,2020-11-23,net_income,2,net_income 2019-12-31: 10-Q 6.5703e+07 -> 10-K 6.7866e+07; net_income 2020-03-31: 10-Q 3.795e+07 -> 10-K 3.6377e+07,0.45,34343000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.45,34343000.0,125903000.0,yes,yes,n/a,True,ok,ok
WAL,1212545,2015-12-31,0001212545-16-000325,2016-02-16,"eps,net_income",4,net_income 2015-06-30: 10-Q 3.4719e+07 -> 10-K 3.9475e+07; net_income 2015-09-30: 10-Q 5.9134e+07 -> 10-K 5.586e+07; eps 2015-06-30: 10-Q 0.39 -> 10-K 0.44; eps 2015-09-30: 10-Q 0.58 -> 10-K 0.55,0.57,58526000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,0.59,58719000.0,155543000.0,no,yes,n/a,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
WD,1497770,2018-12-31,0001558370-19-001390,2019-03-01,eps,3,eps 2018-03-31: 10-Q 1.16 -> 10-K 1.14; eps 2018-06-30: 10-Q 1.28 -> 10-K 1.26; eps 2018-09-30: 10-Q 1.17 -> 10-K 1.15,1.41,45750000.0,214933000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.41,45750000.0,214933000.0,yes,yes,yes,True,ok,"EPS_ONLY_large (NI agrees: share basis, or direct EPS is another line e.g. continuing ops)"
WEN,30697,2016-01-03,0000030697-16-000011,2016-03-03,revenue,1,revenue 2015-03-29: 10-Q 4.66246e+08 -> 10-K 4.51769e+08,0.31,85856000.0,464365000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.31,85856000.0,464365000.0,yes,yes,yes,True,ok,ok
WEX,1309108,2015-12-31,0001309108-16-000146,2016-02-26,net_income,1,net_income 2015-09-30: 10-Q 4.1579e+07 -> 10-K 3.2166e+07,0.54,20901000.0,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.54,20901000.0,212642000.0,yes,yes,n/a,True,ok,ok
WEX,1309108,2018-12-31,0001309108-20-000024,2020-02-28,"eps,revenue",3,revenue 2018-09-30: 10-Q 3.8269e+08 -> 10-K 3.86617e+08; eps 2018-03-31: 10-Q 1.12 -> 10-K 1.2; eps 2018-06-30: 10-Q 0.9 -> 10-K 0.88,0.49,,381196000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.52,22738000.0,381118000.0,no,n/a,yes,True,NI_and_EPS (or more) disagree: derivation/basis error candidate,NI_and_EPS (or more) disagree: derivation/basis error candidate
WINA,908315,2017-12-30,0000908315-19-000008,2019-03-08,"eps,revenue",6,revenue 2017-04-01: 10-Q 1.76238e+07 -> 10-K 1.78109e+07; revenue 2017-07-01: 10-Q 1.67495e+07 -> 10-K 1.64297e+07; revenue 2017-09-30: 10-Q 1.75679e+07 -> 10-K 1.77309e+07; eps 2017-04-01: 10-Q 1.22 -> 10-K 1.25; eps 2017-07-01: 10-Q 1.29 -> 10-K 1.23; eps 2017-09-30: 10-Q 1.33 -> 10-K 1.36,1.86,7638400.0,17785800.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,1.86,7656500.0,17804700.0,yes,yes,yes,True,ok,ok
WMS,1604028,2014-03-31,0001193125-16-521419,2016-03-29,"eps,net_income",6,net_income 2013-06-30: 10-Q 1.6296e+07 -> 10-K 1.2974e+07; net_income 2013-09-30: 10-Q 1.7322e+07 -> 10-K 1.474e+07; net_income 2013-12-31: 10-Q -1.0324e+07 -> 10-K -4.877e+06; eps 2013-06-30: 10-Q 0.27 -> 10-K 0.21; eps 2013-09-30: 10-Q 0.26 -> 10-K 0.21; eps 2013-12-31: 10-Q -0.32 -> 10-K -0.21,-0.41,-14210000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,,,,stored_missing,stored_missing,n/a,False,q4_row_not_in_store,q4_row_not_in_store
WMS,1604028,2015-03-31,0001193125-16-521419,2016-03-29,"eps,net_income",6,net_income 2014-06-30: 10-Q 1.4241e+07 -> 10-K 8.566e+06; net_income 2014-09-30: 10-Q 2.239e+07 -> 10-K 1.6844e+07; net_income 2014-12-31: 10-Q -367000 -> 10-K -3.325e+06; eps 2014-06-30: 10-Q -0.09 -> 10-K -0.21; eps 2014-09-30: 10-Q 0.51 -> 10-K 0.41; eps 2014-12-31: 10-Q -0.01 -> 10-K -0.07,-0.26,-13465000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,,,,stored_missing,stored_missing,n/a,False,q4_row_not_in_store,q4_row_not_in_store
WMS,1604028,2016-03-31,0001193125-16-711072,2016-09-15,"eps,net_income",4,net_income 2015-06-30: 10-Q 1.071e+07 -> 10-K 1.1824e+07; net_income 2015-09-30: 10-Q 1.0899e+07 -> 10-K 1.2589e+07; net_income 2015-12-31: 10-Q 7.976e+06 -> 10-K 8.632e+06; eps 2015-09-30: 10-Q 0.17 -> 10-K 0.2,-0.29,-15091000.0,,EarningsPerShareDiluted,NetIncomeLoss,RevenueFromContractWithCustomerExcludingAssessedTax,,-0.2,-12119000.0,,no,no,n/a,True,NI_and_EPS (or more) disagree: derivation/basis error candidate,NI_and_EPS (or more) disagree: derivation/basis error candidate
WOR,108516,2016-05-31,0001193125-16-666636,2016-08-01,net_income,3,net_income 2015-08-31: 10-Q 3.141e+07 -> 10-K 3.1968e+07; net_income 2015-11-30: 10-Q 2.3241e+07 -> 10-K 2.3376e+07; net_income 2016-02-29: 10-Q 2.9576e+07 -> 10-K 2.9847e+07,0.92,58523000.0,,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.9,58524000.0,714671000.0,no,yes,n/a,True,EPS_ONLY_small (<=0.03; rounding/dilution),EPS_ONLY_small (<=0.03; rounding/dilution)
WPC,1025378,2014-12-31,0001025378-15-000010,2015-03-02,"eps,net_income",2,net_income 2014-03-31: 10-Q 1.12892e+08 -> 10-K 1.15478e+08; eps 2014-03-31: 10-Q 1.25 -> 10-K 1.27,0.3,32272000.0,248333000.0,EarningsPerShareDiluted,NetIncomeLoss,Revenues,,0.31,32272000.0,248332000.0,yes,yes,yes,True,ok,ok
